NGC_BMU_ID,SETT_BMU_ID,FUEL TYPE,EFF_FROM,EFF_TO,Comments,Further Fuel Type,EELPS?,Updated 21/12/2023
HRHLW-1,E_HRHLW-1,WIND,2017-08-31 00:00:00,,,,,
HRSTW-1,T_HRSTW-1,WIND,2013-09-14 00:00:00,,,,,
HRTL-1,T_HRTL-1,NUCLEAR,2001-03-27 00:00:00,,,,,
HRTL-2,T_HRTL-2,NUCLEAR,2001-03-27 00:00:00,,,,,
HUMR-1,T_HUMR-1,CCGT,2003-11-01 00:00:00,,,,,
HUNB-7,T_HUNB-7,NUCLEAR,2004-04-01 00:00:00,,,,,
HUNB-8,T_HUNB-8,NUCLEAR,2004-04-01 00:00:00,,,,,
HYWDW-1,E_HYWDW-1,WIND,2017-05-16 00:00:00,,,,,
INAW-1,,NPSHYD,2005-03-17 00:00:00,,,HYDRO,EELPS,
INDQ-1,T_INDQ-1,OCGT,2001-03-27 00:00:00,,,,,
JGPR-1,T_JGPR-1,BIOMASS,2018-03-06 00:00:00,,,,,
KEAD-1,T_KEAD-1,CCGT,2001-03-27 00:00:00,,,,,
KEAD-2,T_KEAD-2,CCGT,2020-09-29 00:00:00,,,,,
KEADGT-3,T_KEADGT-3,OCGT,2001-03-27 00:00:00,,,,,
KENNW-1 ,T_KENNW-1,WIND,2021-08-12 00:00:00,,,,,
KILBW-1,T_KILBW-1,WIND,2011-12-01 00:00:00,,,,,
KILLPG-1,T_KILLPG-1,CCGT,2016-08-31 00:00:00,,,,,
KILLPG-2,T_KILLPG-2,CCGT,2016-08-31 00:00:00,,,,,
KILNS-1,T_KILNS-1,CCGT,2001-03-27 00:00:00,,,,,
KINCW-1,E_KINCW-1,WIND,2018-05-08 00:00:00,,,,,
KLDMW-1,,WIND,2012-12-12 00:00:00,,,,EELPS,
KLGLW-1,T_KLGLW-1,WIND,2016-06-19 00:00:00,,,,,
KLYN-A-1,E_KLYN-A-1,CCGT,2001-03-27 00:00:00,,,,,
KPMRW-1,T_KPMRW-1,WIND,2018-06-25 00:00:00,,,,,
KTHLW-1,T_KTHLW-1,WIND,2017-01-26 00:00:00,,,,,
KYPEW-1,T_KYPEW-1,WIND,2022-09-07 00:00:00,,,,,
LAGA-1,T_LAGA-1,CCGT,2006-11-07 00:00:00,,,,,
LARKS-1,T_LARKS-1,OTHER,2022-03-17 00:00:00,,,SOLAR,,
LARYO-1,T_LARYW-1,WIND,2017-07-30 00:00:00,,,,,
LARYO-2,T_LARYW-2,WIND,2017-07-30 00:00:00,,,,,
LARYO-3,T_LARYW-3,WIND,2017-07-30 00:00:00,,,,,
LARYO-4,T_LARYW-4,WIND,2017-07-30 00:00:00,,,,,
LBAR-1,T_LBAR-1,CCGT,2001-03-27 00:00:00,,,,,
LBAR-1G,T_LBAR-1G,OCGT,2005-10-20 00:00:00,,,,,
LCLTW-1,T_LCLTW-1,Wind,2013-09-29 00:00:00,,,,,
LCSMH-1,2__PMARB001,NPSHYD,2019-01-03 00:00:00,,,HYDRO,,
LGPKW-1,,WIND,2009-08-17 00:00:00,,,,EELPS,
LNCSO-1,T_LNCSW-1,WIND,2018-02-14 00:00:00,,,,,
LNCSO-2,T_LNCSW-2,WIND,2018-02-14 00:00:00,,,,,
LNMTH-1,E_LYNE1,BIOMASS,2017-08-31 00:00:00,,,,,
LNMTH-2,E_LYNE2,BIOMASS,2017-08-31 00:00:00,,,,,
LNMTH-3,E_LYNE3,BIOMASS,2017-08-31 00:00:00,,,,,
