,local_datetime,recordType,bmUnitID,bMUnitType,leadPartyName,ngcBMUnitName,settlementDate,settlementPeriod,timeFrom,pnLevelFrom,timeTo,pnLevelTo,activeFlag,qpnLevelFrom,qpnLevelTo,melLevelFrom,melLevelTo,milLevelFrom,milLevelTo,bidOfferAcceptanceNumber,acceptanceTime,deemedBidOfferFlag,soFlag,storProviderFlag,rrInstructionFlag,rrScheduleFlag,bidOfferLevelFrom,bidOfferLevelTo
1681,2022-03-19 13:00:00+00:00,QPN,2__EEDIR000,G,British Gas Trading Ltd,MID-EDR01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1682,2022-03-19 13:00:00+00:00,QPN,2__EEELC000,G,E.ON Energy Solutions Limited,MID-EAS01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1683,2022-03-19 13:00:00+00:00,QPN,2__EEENG000,G,E.ON Energy Solutions Limited,MID-EST01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1684,2022-03-19 13:00:00+00:00,QPN,2__EEMEB000,G,E.ON Energy Solutions Limited,MID-PGE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1685,2022-03-19 13:00:00+00:00,QPN,2__EENRD000,G,British Gas Trading Ltd,MID-ENR01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1686,2022-03-19 13:00:00+00:00,QPN,2__EFLEX001,S,Flexitricity Limited,AG-EFLX01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1687,2022-03-19 13:00:00+00:00,QPN,2__EFLEX002,S,Flexitricity Limited,AG-EFLX02,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1688,2022-03-19 13:00:00+00:00,QPN,2__EFLEX003,S,Flexitricity Limited,AG-EFLX03,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1689,2022-03-19 13:00:00+00:00,QPN,2__EFLEX004,S,Flexitricity Limited,AG-EFLX04,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1690,2022-03-19 13:00:00+00:00,QPN,2__EHAVE000,G,Drax Energy Solutions Limited,MID-HVN01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1691,2022-03-19 13:00:00+00:00,QPN,2__EHPOW000,G,Drax Energy Solutions Limited,MID-HPW01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1692,2022-03-19 13:00:00+00:00,QPN,2__EHYDE000,G,OVO Electricity Ltd,MID-SSE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1693,2022-03-19 13:00:00+00:00,QPN,2__EIMPO000,G,SSE Energy Supply Limited,MID-ATL01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1694,2022-03-19 13:00:00+00:00,QPN,2__ELOND000,G,EDF Energy Customers Ltd,MID-LON01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1695,2022-03-19 13:00:00+00:00,QPN,2__ELOND001,S,EDF Energy Customers Ltd,AG-EEDF01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1696,2022-03-19 13:00:00+00:00,QPN,2__ENATP000,G,Npower Commercial Gas Limited,MID-NPE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1697,2022-03-19 13:00:00+00:00,QPN,2__ENORW000,G,E.ON Energy Solutions Limited,MID-NWP01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1698,2022-03-19 13:00:00+00:00,QPN,2__EOGAS000,G,British Gas Trading Ltd,MID-OGA01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1699,2022-03-19 13:00:00+00:00,QPN,2__EPGEN000,G,E.ON UK plc,MID-PGU01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1700,2022-03-19 13:00:00+00:00,QPN,2__ERWED000,G,ENGIE Power Limited,MID-GDF01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1701,2022-03-19 13:00:00+00:00,QPN,2__ESEEB000,G,EDF Energy Customers Ltd,MID-SEE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1702,2022-03-19 13:00:00+00:00,QPN,2__ESMAR000,G,Smartestenergy Limited,MID-SEL01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1703,2022-03-19 13:00:00+00:00,QPN,2__ESMAR001,S,Smartestenergy Limited,AG-ESMA01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1704,2022-03-19 13:00:00+00:00,QPN,2__ESOUT000,G,OVO Electricity Ltd,MID-STH01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1705,2022-03-19 13:00:00+00:00,QPN,2__ESPOW000,G,SP Energy Retail Ltd,MID-SPC01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1706,2022-03-19 13:00:00+00:00,QPN,2__ESTAT001,S,Statkraft Markets Gmbh,AG-ESTK01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1707,2022-03-19 13:00:00+00:00,QPN,2__ESTAT002,S,Statkraft Markets Gmbh,AG-ESTK02,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1708,2022-03-19 13:00:00+00:00,QPN,2__ESWAE000,G,OVO Electricity Ltd,MID-SWA01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1709,2022-03-19 13:00:00+00:00,QPN,2__ESWEB000,G,EDF Energy Customers Ltd,MID-SWT01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1710,2022-03-19 13:00:00+00:00,QPN,2__ETGPL000,G,TotalEnergies Gas & Power Ltd,MID-TFE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1711,2022-03-19 13:00:00+00:00,QPN,2__EUKPR001,S,UK Power Reserve Limited,AG-EUKP01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1712,2022-03-19 13:00:00+00:00,QPN,2__FANGE001,S,Limejump Energy Limited,AG-FLIM01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1713,2022-03-19 13:00:00+00:00,QPN,2__FANGE002,S,Limejump Energy Limited,AG-FLIM02,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1714,2022-03-19 13:00:00+00:00,QPN,2__FBGAS000,G,British Gas Trading Ltd,NEE-BGS01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1715,2022-03-19 13:00:00+00:00,QPN,2__FBIZZ000,G,British Gas Trading Ltd,NEE-BIZ01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1716,2022-03-19 13:00:00+00:00,QPN,2__FEDFE000,G,EDF Energy Customers Ltd,NEE-EDF01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1717,2022-03-19 13:00:00+00:00,QPN,2__FEDIR000,G,British Gas Trading Ltd,NEE-EDR01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1718,2022-03-19 13:00:00+00:00,QPN,2__FEELC000,G,E.ON Energy Solutions Limited,NEE-EAS01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1719,2022-03-19 13:00:00+00:00,QPN,2__FEENG000,G,E.ON Energy Solutions Limited,NEE-EST01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1720,2022-03-19 13:00:00+00:00,QPN,2__FEMEB000,G,E.ON Energy Solutions Limited,NEE-PGE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1721,2022-03-19 13:00:00+00:00,QPN,2__FENRD000,G,British Gas Trading Ltd,NEE-ENR01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1722,2022-03-19 13:00:00+00:00,QPN,2__FFLEX001,S,Flexitricity Limited,AG-FFLX01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1723,2022-03-19 13:00:00+00:00,QPN,2__FHAVE000,G,Drax Energy Solutions Limited,NEE-HVN01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1724,2022-03-19 13:00:00+00:00,QPN,2__FHPOW000,G,Drax Energy Solutions Limited,NEE-HPW01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1725,2022-03-19 13:00:00+00:00,QPN,2__FHYDE000,G,OVO Electricity Ltd,NEE-SSE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1726,2022-03-19 13:00:00+00:00,QPN,2__FIMPO000,G,SSE Energy Supply Limited,NEE-ATL01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1727,2022-03-19 13:00:00+00:00,QPN,2__FLOND000,G,EDF Energy Customers Ltd,NEE-LON01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
